title_theme,title_index,author,theme,cycle,collection,mss,ff,page
,merlin's prophecy of the six kings,,,,harley,harley 746.,ff. 1 b-3,309
,lisamon's brut,,,,cotton,otho c. xiii.,,271
,floyras and blanchefleur,,,,cotton,vitellius d. iii.,ff. 6-8 b,716
,ipomodon,,,,cotton,vespasian a. vii.,ff. 37-104,728
,lanval,,,,cotton,vespasian b. xiv.,ff. 1-8 b,415
,fall of troy,,,,cotton,vespasian b. xiv.,"ff. 18, 18 b",31
,fall of troy,,,,cotton,cleopatra a. viii.,ff. 56-58,30
,fall of troy,,,,harley,harley 3202.,ff. 114 b-115 b,32
,fall of troy and adventures of æneas,,,,cotton,vespasian b. xxiii. part iii.,ff. 118 b-122 b,33
,two prophecies,,,,cotton,vespasian d. xviii.,ff. 125 b-127* b,325
,"prophecies of merlin, etc.",,,,cotton,vespasian e. vii.,"ff. 78-126, 129, 130",320
,whole prophecy of scotland,,,,cotton,vespasian e. viii.,ff. 16-29,337
,whole prophecy of scotland,,,,sloane,sloane 1802,,334
,story of troy and adventures of æneas,,,,cotton,titus a. xx.,ff. 99-104,29
,brut y brenhinoedd,,,,cotton,cleopatra b. v.,ff. 1-108 b,255
,"prophecy of the lily, the lion, and the son of man",,,,cotton,cleopatra d. iii.,ff. 184,318
,"prophecy of the lily, the lion, and the son of man",,,,harley,harley 1008.,ff. 81,318
,four prophecies,,,,cotton,cotton roll ii. 23,,324
,political prophecies,,,,harley,harley 559.,"ff. 1-13, 31-35, 39-48",326
,six fabliaux,,,,harley,harley 2253.,"ff. 67 b, 107 b, 110, 115 b, 118, 122 b",813
,prophecy of thomas of erceldoune,,,,harley,harley 2253.,"ff. 127, col. 2",328
,letter of dindimus to alexander the great,,,,harley,harley 2488.,ff. 114-117 b,139
,letter of dindimus to alexander the great,,,,arundel,arundel 138.,"ff. 126, 126 b",140
,letter of dindimus to alexander the great,,,,sloane,sloane 3991.,ff. 95-97,140
,l'ordène de chevalerie,,,,harley,harley 4333.,ff. 115-117 b,810
,richard cœur-de-lion,,,,harley,harley 4690.,ff. 106-115,949
,prophecies taken from geoffrey of monmouth and others,,,,harley,harley 6148.,ff. 86-98 b,311
,kings of britain,,,,lansdowne,lansdowne 214.,ff. 85-193,251
,abridgement of historia trojana,,,,lansdowne,lansdowne 380.,ff. 36-39 b,59
,chanson de roland,,,,lansdowne,lansdowne 388.,ff. 381-395 b,631
,chanson d'aspremont,,,,lansdowne,lansdowne 782,,600
,"prophecies of merlin, gildas, and thomas of ercildoune",,,,arundel,arundel 57.,ff. 4 b-11,307
,life of robin hood,,,,sloane,sloane 780.,ff. 46-48 b,517
,collection of prophecies,,,,sloane,sloane 2578,,333
,five romantic tales,,,,additional,add. 4857.,"ff. 89, 97 b, 110, 134, 139 b",841
,ívents saga,,,,additional,add. 4857.,ff. 113 b-133 b,393
,ívents saga,,,,additional,add. 4857.,ff. 32-45 b,393
,ívents saga,,,,additional,add. 4859.,ff. 32-45 b,394
,eight romantic tales,,,,additional,add. 4859.,"ff. 10, 15, 142 b, 240, 313, 314, 344 b, 367",843
,eight romantic tales,,,,additional,add. 4859.,"ff. 10, 15, 142 b, 240, 813, 314, 344 b, 367",843
,eight romantic tales,,,,additional,add. 4860.,"ff. 1, 17, 29, 95, 273, 285, 293, 329",846
,parcevals saga and valvers þáttr,,,,additional,add. 4859.,ff. 46-65 b,395
,möttuls saga,,,,additional,add. 4859.,ff. 75-81,405
,partalópa saga,,,,additional,add. 4860.,ff. 189-206,707
,seven romantic tales,,,,additional,add. 4863.,"ff. 25, 69, 119, 153, 181, 189, 229",847
,three romantic tales,,,,additional,add. 4870.,"ff. 62, 69, 83 b",851
,three romantic tales,,,,additional,add. 4874.,"ff. 98 b, 110, 138",852
,three romantic tales,,,,additional,add. 4875.,"ff. 1, 25 b, 54 b",854
,saga of ajax frækni,,,,additional,add. 4884.,ff. 167-178,854
,merlínus spá,,,,additional,add. 6121.,ff. 55-71,304
,juglet,,,,additional,"add. 10,289.",ff. 175 b-178 b,812
,fioccolo,,,,additional,"add. 10,296",,724
,rimur of remund,,,,additional,"add. 11,110.",ff. 101-144,855
,rimur from trójumanna saga,,,,additional,"add. 11,113.",ff. 171-281,63
,collection of anecdotes,,,,additional,"add. 11,153.",ff. 182-263,865
,valentine and orson and tales,,,,additional,"add. 11,157.","ff. 90, 176, 188",857
,ten romantic tales,,,,additional,"add. 11,158.","ff. 1, 24, 83, 71, 123, 201, 233, 251, 261 b, 268, 289",858
,patient griselda,,,,additional,"add. 11,163.",ff. 120 b-136 b,865
,argenis,,,,additional,"add. 11,164",,866
,merlinus spá,,,,additional,"add. 11,174.",ff. 85-98,307
,brut gruffydd ap arthur,,,,additional,"add. 14,903.",ff. 20-177,258
,brut gruffydd ap arthur,,,,additional,"add. 19,709.",ff. 8-84,257
,extracts from brut y brenhinoedd,,,,additional,"add. 15,003.",ff. 1-13,259
,isarles y ffynnawn,,,,additional,"add. 15,035.",ff. 57-61,393
,brut tyailio,,,,additional,"add. 15,566.",ff. 6-140,254
,voeux du paon and restor du paon,,,,additional,"add. 16,888",,150
,the diana of montemayor,,,,additional,"add. 18,688",,789
,amis and amylion,,,,additional,"add. 18,922.",ff. 204-221 b,678
,may colvin,,,,additional,"add. 20,094.","ff. 21-26, 30-32 b",544
,the king of tars and the soudan of damas,,,,additional,"add. 22,283.",ff. 126-128 b,767
,nine romantic tales,,,,additional,"add. 24,969.","ff. 25, 62, 69 b, 74, 78 b, 83, 94, 209, 270",867
,story of sigurgaror,,,,additional,"add. 24,970",,871
,fertrams saga,,,,additional,"add. 24,972.",ff. 58-72 b,872
,"the grene knight, turke and gowin, the marriage of sir gawaine",,,,additional,add. 27879.,"ff. 17 b-24 b, 101 b-105, 223 b-226 b",389
,sir lambewell,,,,additional,add. 27879.,ff. 29 b-33 b,417
,guye and amarant,,,,additional,add. 27879,ff. 110-117,499
,three ballads of forest life,,,,additional,add. 27879,ff. 117 b-210,523
,guy and phillis,,,,additional,add. 27879,ff. 126,500
,robin hood ballad,,,,additional,add. 27879,ff. 129-180 b,520
,libius disconius,,,,additional,add. 27879,ff156 b-171,401
,guy and colebrande,,,,additional,add. 27879,ff172 b-176b,500
,two ballads relating to adam bell,,,,additional,add. 27879,ff194-201,522
,a propecye,,,,additional,add. 27879 f 239 b,,327
,robin hood's garland,,,,additional,add. 28638,,520
,ballads of scotland,,,,additional,"add. 29408, 29409",,537
,two charlemagne romances,,,,additional,add. 31042,"ff66 b-79 b, 82-94",953
,ipomedon and prothesilaus,,,,egerton,egerton 2515,ff. 3-141,746
